zip_2,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,open_acc,revol_bal,dti,total_acc,mort_acc,time_delta
46,14149.135394874476,1.2661480125523012,13.38959074267695,426.40255491632234,5.194037656903766,23.027000523012553,6.475287656903766,3.8592442468619246,71015.802564069,12.068841527196653,14843.267913179916,19.640430177824243,26.372581066945607,2.0170632845188283,6049.5067991631795
47,13722.259166067577,1.2798346513299785,13.454944284687107,410.95434579439217,5.1924874191229335,23.00215672178289,6.642882818116463,3.904565061107117,63472.17598849751,11.422897196261681,13719.322969086988,20.04575125808772,26.319194823867722,2.023544212796549,5999.405463695183
48,14037.579752867065,1.2445081570020997,13.380824584072576,426.7046224357964,5.21248586658052,23.084437086092716,6.6838152156356,3.85604102729769,72072.01925294785,12.17242771765466,15090.218946858342,18.52656961718638,25.9598207074786,1.7070344047811339,6198.980213212728
49,13184.779005524862,1.2476243093922652,13.295585635360021,398.6923116022096,5.234475138121547,23.21988950276243,6.804640883977901,3.905745856353591,63987.320767955796,11.404640883977901,14349.123535911602,19.313465193370195,25.51767955801105,1.9407734806629835,6093.911049723757
50,13914.772727272728,1.1818181818181819,13.791818181818183,442.8313636363636,5.090909090909091,22.40909090909091,6.545454545454546,3.8181818181818183,73631.22727272728,12.0,13233.318181818182,19.512727272727275,27.545454545454547,1.6818181818181819,5864.636363636364
51,20204.166666666668,1.3333333333333333,13.37833333333333,632.5749999999999,5.333333333333333,22.833333333333332,2.8333333333333335,3.6666666666666665,87500.0,13.5,19546.666666666668,18.726666666666667,25.666666666666668,0.5,5392.166666666667
52,10691.666666666666,1.1111111111111112,9.586111111111114,326.0000000000001,6.166666666666667,28.27777777777778,4.611111111111111,3.611111111111111,53444.22222222222,10.5,10372.0,14.434999999999999,27.555555555555557,1.1111111111111112,5020.833333333333
53,14015.807819123882,1.2355157795572302,12.928477626001794,424.66664813942657,5.332454074422986,23.706358926048047,6.435233160621761,3.709844559585492,69323.02364201602,11.87593028732925,16867.832218558644,18.653723033443146,26.41337729627885,2.003768252472916,6238.652284503061
54,13378.101018010962,1.252466718872357,13.115672670321455,402.55760375881005,5.284259984338293,23.47956147220047,6.6189506656225525,3.8083007047768205,63877.03040250589,11.37760375880971,14854.350665622553,20.112709475332835,27.003288958496476,2.2191072826938134,6157.521378230227
55,14190.437635603535,1.251309731703445,13.10228343123156,428.00371857967406,5.290945652749113,23.474678520400065,6.063396306292004,3.7284754193787375,73932.0609408901,11.804095888236228,17112.16817484257,18.39000899613689,25.388950627083663,1.7725035719955549,5876.77477906546
56,12944.781611969112,1.2386583011583012,13.248909266409047,392.33983832046414,5.24203667953668,23.267133204633204,6.299469111969112,3.8894787644787643,59455.07144063707,11.13030888030888,13257.649855212356,19.343467664092667,24.909025096525095,1.7743725868725868,5844.42277992278
57,13416.20858433735,1.233433734939759,13.411592620482155,410.2202259036148,5.205948795180723,23.10918674698795,6.147213855421687,3.8452560240963853,61834.96798569276,10.775225903614459,14335.971385542169,20.705685240963877,27.017319277108435,1.8268072289156627,5889.781626506024
58,14648.272971160295,1.2179745137491615,13.646680080482849,454.5393494299111,5.120724346076459,22.61569416498994,5.192488262910798,3.72635814889336,76121.75778001342,11.362843729040913,14094.949698189135,20.67701542588867,25.085177733065056,1.4580818242790075,5377.786720321931
59,13374.678434592228,1.239463601532567,13.07422003284053,404.49696770662314,5.31143951833607,23.576902025177887,6.262999452654625,3.7922824302134646,62596.85084838532,10.700054734537494,13804.313355227148,19.67237000547345,25.146414887794197,1.7837985769020253,5977.688560481664
60,14902.1275895654,1.2181947405828002,13.016997025452936,456.5855605570048,5.309089473268577,23.591539656216273,6.135934086182842,3.6804074863776357,80838.3643352023,12.242464924056964,18332.267366869357,17.394089868119732,25.77211824475506,1.7017820948169207,5998.618468504041
61,13914.459772013877,1.2407070873946804,13.228461919709531,422.2620237898556,5.262679662977036,23.33289278043945,6.815298199240046,3.850982983644474,67480.1766694201,11.655377498760945,15425.844374690236,19.931787543366934,26.997026267966298,2.0122253428052206,5993.681149843053
62,14285.265918958032,1.2436685962373373,13.277152677279167,433.42444464543973,5.236070911722142,23.205499276410997,6.916606367583213,3.920586107091172,68650.16985709117,11.741678726483357,15665.337554269176,20.460126628075177,27.917872648335745,2.095875542691751,6054.539797395079
63,14162.237136465325,1.2496644295302013,13.23043736017985,427.890713646534,5.246644295302014,23.28847874720358,6.367561521252797,3.8258389261744967,71253.84126286353,11.77874720357942,16192.30928411633,19.284262863534686,26.835570469798657,2.147091722595078,6032.394966442953
64,14107.96256299496,1.262634989200864,13.203912167027262,424.3177350611962,5.257451403887689,23.332613390928724,6.404031677465802,3.8277897768178546,69445.36332757378,11.609935205183586,14925.149028077754,19.219015118790487,26.011663066954643,1.9989920806335493,5954.6892728581715
65,13083.43293492696,1.2357237715803453,13.259172200088257,398.0485170429391,5.245683930942895,23.26316954404604,6.6677733510402835,3.8461708720672863,61672.23022576359,11.241921204072598,13648.60026560425,20.27120628596721,26.377158034528552,1.9477644975652944,5807.990039840637
66,14303.471207249342,1.2483192049108447,13.025764396375918,430.74688102894294,5.306050862320959,23.58257819351067,6.328997369190295,3.7776965799473836,72109.92880444313,11.382928968137971,15934.922683425899,19.016970184156687,25.292604501607716,1.9032446653025432,5960.585793627594
67,13645.41740005029,1.2421423183304,13.29974101081197,413.5530123208444,5.240885089263264,23.21976364093538,6.636660799597687,3.8715111893386975,65841.46871008298,11.039225546894643,13986.197133517728,20.195355795826014,25.622579834045762,1.894141312547146,5939.778727684184
68,13362.061838624339,1.226521164021164,13.470089285714533,408.37948743386266,5.166335978835979,22.856150793650794,5.884589947089947,3.748677248677249,65072.7592361111,11.658068783068783,13699.030753968254,20.125201719576697,24.976190476190474,1.6944444444444444,5761.762235449735
69,13342.879256965944,1.2817337461300309,13.848482972136177,402.32439628482956,5.061919504643963,22.28173374613003,6.34984520123839,3.873065015479876,58528.52080495356,10.544891640866872,11600.216718266254,20.67498452012384,23.758513931888544,1.6687306501547987,5755.247678018576
70,14347.944599038705,1.2583691710936842,13.338048739353967,432.9622295303178,5.223206003878911,23.15414453157939,6.185513112404081,3.8862467324394974,75111.57976810861,11.147145627793238,14440.694493633528,19.179240239480535,25.565983641116453,1.6450796863141917,5947.18745256767
71,13669.177930423222,1.2384223354752937,13.422054066031196,415.4192865056503,5.196321737203634,23.054066031464657,6.773099933525371,3.9977841790383337,68948.95797473965,11.16175493020164,13204.922446266342,20.173368047861707,26.024595612674496,1.5987148238422335,6114.723243961888
72,13624.186817233338,1.2492942187308211,13.530996685897575,413.36173315330785,5.174420031913588,22.911132932367742,6.609549527433411,3.901558856020621,67421.56486068493,11.329323677427274,13581.846692033878,20.072418068000513,25.648582300233215,1.9253713023198724,5969.539707867927
73,14414.183479910329,1.2533195378513537,13.409770650112211,436.175361269186,5.205207794447318,23.05345749267115,6.269011898603208,3.8618727366787375,72019.20183135025,11.199862045180204,14265.273322986723,19.792643559234378,26.5266425245732,1.8946370063804103,5969.144507673737
